ORB_detection_left_height,ORB_kalman_left_height,ORB_detection_right_height,ORB_kalman_right_height,ORB_detection_top_width,ORB_kalman_top_width,ORB_detection_bottom_width,ORB_kalman_bottom_width,ORB_detection_angle,ORB_kalman_angle,ORB_detection_center_x,ORB_kalman_center_x,ORB_detection_center_y,ORB_kalman_center_y,SIFT_detection_left_height,SIFT_kalman_left_height,SIFT_detection_right_height,SIFT_kalman_right_height,SIFT_detection_top_width,SIFT_kalman_top_width,SIFT_detection_bottom_width,SIFT_kalman_bottom_width,SIFT_detection_angle,SIFT_kalman_angle,SIFT_detection_center_x,SIFT_kalman_center_x,SIFT_detection_center_y,SIFT_kalman_center_y,SURF_detection_left_height,SURF_kalman_left_height,SURF_detection_right_height,SURF_kalman_right_height,SURF_detection_top_width,SURF_kalman_top_width,SURF_detection_bottom_width,SURF_kalman_bottom_width,SURF_detection_angle,SURF_kalman_angle,SURF_detection_center_x,SURF_kalman_center_x,SURF_detection_center_y,SURF_kalman_center_y
12.7432,5.3011,4.8485,4.2884,8.9284,3.8565,1.5628,2.3134,2.6613,0.6421,0.404,0.0554,1.9722,1.1926,70.6741,5.294,71.1805,4.7876,71.69,4.1848,72.7118,3.163,0.4019,1.2367,338.01,1.8084,233.7725,2.0052,120.9233,40.4293,78.0916,2.4023,77.8315,3.583,12.6144,68.8001,170.7393,165.4926,401.63,21.4496,254.2375,0.296
9.5331,3.0395,4.5815,0.0409,3.3319,0.7263,4.9226,1.85,2.3648,1.0805,0.8562,0.8258,2.0326,2.0482,5.9447,3.9851,3.5658,3.9797,3.9486,3.7678,4.1227,4.2777,2.444,1.1383,0.1488,1.1514,0.7011,1.9441,4.6581,4.2654,3.8091,3.4843,3.3811,1.7517,4.5901,1.26,5.2508,1.5929,0.3184,0.6481,0.5375,0.4796
9.4577,5.2399,8.6024,4.2282,5.1686,1.7306,5.15,1.2097,1.8838,1.8514,1.8716,1.111,1.5692,0.7433,4.8563,3.8878,6.2191,3.8866,4.4549,3.2091,5.6985,2.9591,0.2252,0.1226,0.4399,0.3876,0.1763,0.9766,7.7318,7.7466,12.9373,5.5041,14.7038,1.7439,3.1664,2.053,0.945,0.5652,0.1922,0.2532,0.8356,0.0796
10.7994,3.9482,1.7452,5.3881,2.4332,1.3891,2.6289,1.408,3.284,2.5645,0.4079,0.0719,1.8438,1.0052,10.4947,5.5276,4.9942,3.9963,1.1576,3.2164,4.9002,2.9663,1.014,0.8082,2.0407,0.2618,0.5951,0.5373,3.241,8.0417,12.1911,7.5478,1.2372,3.4825,4.7935,4.0019,2.8797,1.3451,0.4957,0.3562,0.9879,0.3029
5.6297,9.5424,23.0899,8.8198,1.408,4.6669,20.2194,5.3744,1.9152,2.779,0.0263,0.3379,1.2508,0.752,74.757,2.2412,73.4704,3.5277,74.247,2.538,75.5104,1.2746,0.1973,0.0478,338.1975,0.1717,238.665,0.2938,5.9584,8.9981,10.6457,7.9041,2.3521,5.7099,13.118,3.7086,3.7508,4.1686,4.1089,0.2923,2.6193,1.2777
9.7976,13.1055,13.7217,13.1055,0.9109,8.2414,10.3347,8.2414,0.7194,2.0788,0.5632,0.3835,0.5902,0.3243,1.2969,2.7903,1.9625,2.7884,4.3428,0.8342,4.4506,2.0842,1.0693,0.412,0.2201,2.6487,0.5403,0.5753,3.3028,9.3339,14.6339,8.6048,4.7454,5.2704,1.7504,5.3022,2.9084,5.1224,1.1614,1.358,1.2942,1.337
11.5987,14.0386,17.0368,12.5912,4.8125,10.9839,23.3712,11.6606,0.5937,2.2286,0.4578,0.3256,1.2584,1.118,2.7327,1.5337,9.3504,1.4121,0.2808,0.3812,7.544,0.1688,1.854,0.6063,2.3334,2.5277,0.2995,0.1741,4.3956,10.1135,10.0015,9.7422,2.9003,6.6889,8.4747,6.342,4.3658,4.4,2.0376,0.9136,0.5931,0.4646
15.1979,17.5091,13.916,17.5274,7.8281,15.1564,12.2739,14.4267,1.9768,2.3614,0.158,0.7431,0.5043,0.5201,76.5204,4.0246,79.3204,1.2246,78.5666,0.4105,78.0803,0.0758,1.3063,0.0997,339.28,2.0439,241.59,0.5003,1.026,7.2554,2.7117,5.7065,0.5385,8.5329,0.3408,7.8192,0.5917,1.2553,2.0903,0.1168,0.2507,0.4257
22.1041,18.2236,0.7135,18.2904,14.2786,17.3209,4.9923,14.4414,5.3439,2.7605,0.0495,0.3521,0.2185,0.1338,8.8095,3.3666,2.4503,1.3206,1.2489,0.3201,3.1182,0.9267,2.1674,0.1295,1.2368,0.813,0.2498,0.2308,2.0881,6.1878,3.8093,7.2188,4.7661,9.3492,0.6262,7.8769,0.1424,3.3887,3.6416,0.6648,0.2978,0.3263
4.9775,19.0854,25.1001,19.8383,5.0642,18.7992,16.8042,6.9364,2.4888,1.6802,2.8631,3.158,0.2142,0.2906,7.791,4.7456,6.4628,3.7256,2.3505,1.8355,4.5659,1.3223,0.2302,0.2504,1.9031,0.0433,0.6161,1.4614,4.1757,7.4963,12.0702,5.7087,3.2183,6.9218,6.1793,6.7325,3.6097,1.465,3.3859,1.5478,0.9072,0.398
