P1_time_percent,P1_error_X,P1_error_Y,P1_error_Angle,P2_time_percent,P2_error_X,P2_error_Y,P2_error_Angle,P3_time_percent,P3_error_X,P3_error_Y,P3_error_Angle,P4_time_percent,P4_error_X,P4_error_Y,P4_error_Angle,P5_time_percent,P5_error_X,P5_error_Y,P5_error_Angle
2799857000000,14.2591247559,-7.5940246582,15.9622135162,2802437000000,4.28964233398,-1.20188903809,10.6244831085,2791585000000,3.48458862305,-0.643218994141,12.6518125534,2798321000000,-0.365203857422,6.43267822266,10.2544403076,2804833000000,14.7657470703,1.08277893066,16.1684131622
2799953000000,14.737121582,-7.63583374023,15.6717453003,2802541000000,4.52688598633,-1.84143066406,9.94380283356,2791585000000,3.22006225586,-0.761947631836,14.8295984268,2798429000000,-0.586547851562,6.69064331055,11.4058694839,2804833000000,14.0001831055,0.600311279297,16.2503852844
2800045000000,14.5009765625,-7.77084350586,15.4325580597,2802633000000,4.86721801758,-2.15374755859,9.8639755249,2791681000000,3.62911987305,-0.96696472168,14.7934236526,2798537000000,0.628967285156,5.76600646973,9.23485946655,2804933000000,14.2312011719,0.50341796875,15.9907608032
2800137000000,14.9217224121,-7.82012939453,15.1447715759,2802729000000,5.04187011719,-2.27008056641,9.78766918182,2791761000000,4.03820800781,-1.17198181152,14.7572488785,2798637000000,1.28814697266,5.23289489746,8.90486526489,2805017000000,14.4622497559,0.406524658203,15.731136322
2800269000000,15.3718261719,-7.86437988281,14.9986715317,2802829000000,5.49337768555,-2.73558044434,9.07893180847,2791861000000,4.447265625,-1.37699890137,14.721075058,2798721000000,1.08596801758,5.11499023438,8.53775978088,2805165000000,14.6932983398,0.309631347656,15.4715127945
2800345000000,15.7950439453,-7.91323852539,14.7182006836,2802929000000,5.69201660156,-2.88215637207,8.96918964386,2792021000000,4.85635375977,-1.58201599121,14.6849002838,2798805000000,1.15954589844,5.11825561523,9.01714515686,2805257000000,14.9243469238,0.212738037109,15.2118883133
2800505000000,17.0881958008,-8.63442993164,14.1787643433,2803025000000,5.89065551758,-3.0287322998,8.85944747925,2792125000000,6.74325561523,-1.62370300293,14.6267871857,2798889000000,1.40542602539,4.94822692871,8.80807685852,2805349000000,15.1553649902,0.115859985352,14.9522647858
2800505000000,17.8679199219,-7.97772216797,13.29870224,2803149000000,6.56475830078,-3.26800537109,7.6145234108,2792209000000,7.26544189453,-1.81622314453,14.5894832611,2798985000000,1.65127563477,4.77819824219,8.59900856018,2805437000000,15.3864135742,0.0189666748047,14.6926403046
2800589000000,18.3903808594,-8.01675415039,12.9749336243,2803245000000,6.80267333984,-3.42222595215,7.44588279724,2792305000000,7.37661743164,-2.40367126465,15.7755613327,2799077000000,1.89715576172,4.60816955566,8.38993930817,2805525000000,15.6174621582,-0.0779266357422,14.433016777
2800669000000,18.3637084961,-9.10906982422,12.7480802536,2803337000000,7.81887817383,-2.88362121582,6.77721786499,2792397000000,7.86459350586,-2.6290435791,15.8001098633,2799153000000,4.27825927734,3.57632446289,7.72719097137,2805629000000,15.8484802246,-0.174819946289,14.1733922958
2800749000000,18.7261047363,-9.26808166504,13.6963338852,2803337000000,6.9462890625,-3.31242370605,6.4041185379,2792489000000,10.1035766602,-4.48731994629,14.0424385071,2799153000000,3.45825195312,3.07357788086,6.92360305786,2805717000000,18.1913146973,-3.3553314209,15.8553056717
2800845000000,19.1909179688,-9.40107727051,13.4429998398,2803437000000,6.63851928711,-2.9421081543,6.7379899025,2792489000000,11.212097168,-4.16331481934,11.7165126801,2799313000000,4.23519897461,2.64091491699,5.25475025177,2805821000000,18.5599975586,-3.6531829834,15.6878290176
2800929000000,19.2498168945,-9.38768005371,13.0547227859,2803549000000,6.79351806641,-3.02255249023,6.56220674515,2792589000000,11.8911743164,-4.46734619141,11.5384073257,2799425000000,4.15243530273,2.72407531738,5.23919916153,2805973000000,19.1361999512,-4.63194274902,14.4908323288
2801073000000,19.7514038086,-9.62701416016,12.5447692871,2803649000000,8.6572265625,-3.15977478027,6.18424844742,2792677000000,13.0236206055,-5.6238861084,10.4551992416,2799533000000,6.09811401367,2.45947265625,5.73695993423,2806073000000,19.3531188965,-5.25735473633,14.0783834457
2801149000000,20.7565002441,-10.1545562744,11.9201984406,2803733000000,8.96099853516,-3.24517822266,5.99797439575,2792677000000,12.0065002441,-6.10865783691,9.82190990448,2799625000000,6.88677978516,2.40255737305,5.16930246353,2806161000000,20.2805175781,-5.99432373047,13.2940597534
2801249000000,21.2435302734,-10.3209991455,11.6282625198,2803825000000,9.74279785156,-3.36016845703,5.97421264648,2792757000000,12.9781799316,-7.09848022461,8.38458538055,2799625000000,5.94165039062,2.11419677734,3.6593670845,2806161000000,19.990447998,-5.79957580566,12.6627311707
2801325000000,20.9367980957,-10.6388244629,11.0140571594,2803825000000,9.96868896484,-3.7313079834,5.75921964645,2792925000000,14.5307312012,-7.32070922852,7.73563718796,2799725000000,7.38381958008,2.29676818848,2.48483037949,2806237000000,21.7118835449,-5.85786437988,11.5735855103
2801461000000,22.4603881836,-10.518737793,10.5836687088,2803929000000,10.351348877,-3.7015838623,5.63285493851,2792925000000,13.2172546387,-7.37882995605,9.06985855103,2799837000000,7.55020141602,1.29313659668,2.45527100563,2806309000000,21.4950256348,-6.779296875,10.2114391327
2801461000000,21.565032959,-9.24942016602,9.38238525391,2804021000000,10.6900634766,-3.80172729492,5.45589923859,2793025000000,13.7738952637,-8.35775756836,8.68654918671,2799937000000,7.85424804688,0.818222045898,2.42491745949,2806425000000,21.7172851562,-7.26184082031,9.82937908173
2801561000000,22.9186401367,-10.063293457,9.22244644165,2804133000000,11.2875671387,-4.05514526367,5.18886327744,2793125000000,14.8050231934,-9.80842590332,8.60868167877,2800029000000,8.27459716797,0.530075073242,2.05858659744,2806509000000,22.4708862305,-7.0944519043,9.63820075989
2801561000000,22.1553649902,-10.6950073242,9.47520637512,2804245000000,11.2873535156,-4.68783569336,5.25231409073,2793229000000,15.3627319336,-10.3419494629,8.37359333038,2800125000000,7.99716186523,0.236389160156,2.38855266571,2806509000000,21.6686706543,-7.38327026367,9.41070365906
2801645000000,23.0352478027,-11.4523620605,9.34903526306,2804357000000,11.6165161133,-4.84732055664,5.08363819122,2793313000000,16.5846862793,-11.2448730469,7.83594989777,2800217000000,8.35675048828,-0.0522308349609,2.06136703491,2806785000000,21.9882507324,-7.71856689453,9.06375312805
2801645000000,23.8604125977,-10.9166564941,7.54211616516,2804461000000,12.2564086914,-5.30488586426,3.2080245018,2793313000000,16.2262573242,-10.9466247559,7.05661773682,2800325000000,8.70889282227,-1.4637298584,3.38323688507,2806913000000,22.9467163086,-9.37142944336,10.0372676849
2801725000000,24.6802978516,-10.8118591309,7.58155918121,2804461000000,11.5951843262,-5.2864074707,3.72710680962,2793397000000,16.7554931641,-11.435760498,6.77578258514,2800429000000,9.06787109375,-1.84878540039,3.14777779579,2807021000000,23.024810791,-10.2977294922,9.50363922119
2801725000000,22.2414855957,-12.6572418213,8.62958717346,2804565000000,12.6227111816,-5.68598937988,3.79056859016,2793489000000,18.5159301758,-12.642288208,6.18397378922,2800521000000,9.19540405273,-1.88954162598,3.67209720612,2807129000000,23.2311401367,-10.7861480713,8.92753601074
2801865000000,23.4054870605,-12.1964263916,8.42794036865,2804565000000,12.6416625977,-6.21179199219,3.54425549507,2793489000000,19.4797973633,-12.2107086182,5.75265216827,2800633000000,9.53454589844,-2.2451171875,3.47826504707,2807129000000,22.8617248535,-10.7240142822,8.6395406723
2801949000000,24.8046264648,-12.7389068604,8.2828130722,2804565000000,13.4008178711,-5.72123718262,4.51280355453,2793589000000,20.5034179688,-12.5374755859,4.06709051132,2800737000000,11.1033630371,-2.64498901367,3.65146541595,2807241000000,23.9474487305,-11.9798278809,8.44138526917
2802045000000,24.8229064941,-12.7505493164,7.94504499435,2804657000000,13.7476806641,-5.87579345703,4.37166786194,2793689000000,20.655090332,-13.606338501,3.2167904377,2800741000000,10.6268310547,-2.0544128418,4.97272157669,2807241000000,23.7980041504,-12.142074585,8.31452083588
2802133000000,25.7778930664,-13.5357513428,7.41126585007,2804761000000,13.9458618164,-6.0972442627,3.92980575562,2793689000000,20.1115112305,-13.8056945801,3.36441493034,2800833000000,10.9899597168,-2.34312438965,4.91384410858,2807333000000,24.0992126465,-12.6259460449,8.02609539032
