1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle
1.5439381406689108e+18,14.1659088135,-44.6583251953,-2.07015156746,1.5439385035380495e+18,-67.5344848633,-11.1860198975,-4.66994953156,1544027875029412493,229.260040283,-224.759918213,-53.5017623901,1.5440286526296374e+18,-1.86566162109,21.020401001,-1.86457443237
1.543938140820459e+18,20.2492370605,-44.6874847412,-4.19719362259,1.5439385035389445e+18,-64.7540435791,-10.4076690674,-3.75605583191,1544027875089961836,237.550872803,-234.74822998,-54.6051330566,1.5440286527311183e+18,-2.72131347656,20.3263244629,0.25323587656
1.5439381410656292e+18,14.2560272217,-40.7715911865,-8.56482505798,1.543938503636815e+18,-69.7635955811,-9.38328552246,1.56953346729,1544027875149534122,245.841705322,-244.73651123,-55.7085075378,1.5440286528435884e+18,-0.684005737305,22.7201004028,-1.28384852409
1.543938141224195e+18,15.9612731934,-40.8165130615,-5.65675783157,1.5439385036374374e+18,-70.4179534912,-10.212677002,4.715695858,1544027875222080990,254.132537842,-254.724822998,-56.8118782043,1.5440286529219776e+18,-2.13241577148,21.1389923096,-2.08108401299
1.5439381414710766e+18,19.861618042,-42.7050476074,-16.9226856232,1.543938503759206e+18,-68.1346435547,-9.48257446289,3.53224182129,1544027875288808223,262.423370361,-264.713134766,-57.9152526855,1.5440286530691686e+18,3.83711242676,19.6313705444,1.75244522095
1.5439381416467564e+18,22.0177459717,-43.2585144043,-19.6506061554,1.5439385037594568e+18,-65.3715515137,-8.38354492188,2.43766093254,1544027875349457442,270.714233398,-274.701416016,-59.0186233521,1.5440286530692257e+18,4.37991333008,19.6906051636,1.8252068758
1.5439381417967127e+18,16.7172393799,-38.1203308105,-9.40725326538,1.5439385039039468e+18,-70.2770996094,-5.84869384766,1.29971885681,1544027875434527386,279.005065918,-284.689727783,-60.1219978333,1.5440286531863913e+18,0.531524658203,20.696685791,1.10616493225
1.5439381419751124e+18,15.8924865723,-36.3984832764,-9.50957775116,1.5439385039860114e+18,-69.1449737549,-6.91286468506,0.867101848125,1544027875458504186,287.295898438,-294.678039551,-61.2253684998,1.5440286531871626e+18,-1.33779907227,21.7441711426,2.29232001305
1.5439381420883302e+18,15.0677490234,-34.676651001,-9.61190223694,1.5439385039869796e+18,-69.7016448975,-7.8807144165,1.2733130455,1544027875533535052,295.586730957,-304.666320801,-62.328742981,1.5440286532876076e+18,-2.90115356445,26.028175354,-3.52622056007
1.543938142197798e+18,13.9461364746,-32.9987335205,-8.91604614258,1.5439385039877248e+18,-68.6591339111,-8.51557922363,-2.30319809914,1544027875617677605,303.877563477,-314.654632568,-63.4321136475,1.5440286532892529e+18,-4.07821655273,27.110824585,-3.00419163704
1.543938142198427e+18,12.4496154785,-32.7767181396,-5.45032119751,1.5439385040627008e+18,-65.8661956787,-3.28485107422,-2.28983783722,1544027875741759797,121.757141113,-89.9571380615,-50.52917099,1.5440286533741614e+18,-4.88638305664,26.6829833984,-6.90512752533
