P1_time_percent,P1_Xc,P1_Yc,P1_W,P1_H,P1_angle,P2_time_percent,P2_Xc,P2_Yc,P2_W,P2_H,P2_angle,PD1_time_percent,PD1_Xc,PD1_Yc,PD1_W,PD1_H,PD1_angle,PD2_time_percent,PD2_Xc,PD2_Yc,PD2_W,PD2_H,PD2_angle,PD3_time_percent,PD3_Xc,PD3_Yc,PD3_W,PD3_H,PD3_angle,PD4_time_percent,PD4_Xc,PD4_Yc,PD4_W,PD4_H,PD4_angle
,,,,,,1.54393925043606E+018,150.067825317,126.016403198,90.6911849976,94.5026855469,-0.455379456282,1.54393814914305E+018,152.705200195,136.278701782,122.376747131,123.735748291,-0.402016937733,1.54393851059323E+018,187.182754517,86.1651916504,129.730865479,136.613555908,-0.796895027161,1.54402788771414E+018,271.652893066,158.956222534,79.8051605225,84.7482833862,-2.94041657448,1.54402865653865E+018,164.717224121,89.4038391113,114.485572815,115.669830322,2.10218596458
,,,,,,1.54393925052565E+018,155.694519043,124.44052887,93.5872039795,93.6811141968,-2.21210765839,1.54393814923764E+018,148.307632446,134.447982788,124.592689514,129.93006897,2.21114826202,1.54393851072631E+018,185.835632324,81.1674118042,128.714859009,133.387954712,-2.091329813,1.54402788783221E+018,272.476226807,162.555587769,79.3589706421,84.9542999268,-2.14057016373,1.54402865654102E+018,163.594497681,88.5853652954,115.781196594,114.552597046,3.15181231499
,,,,,,1.54393925052637E+018,156.188430786,123.846069336,94.1064682007,94.01146698,-3.46302437782,1.54393814937913E+018,149.745803833,131.148757935,126.438560486,126.401496887,0.792001903057,1.54393851086609E+018,184.626373291,77.2374267578,128.341110229,133.168899536,-2.04437541962,1.54402788795628E+018,269.124847412,162.939712524,78.0717773438,85.3319549561,-4.90740203857,1.54402865664329E+018,159.064498901,91.1797485352,119.020431519,116.218032837,4.52438545227
,,,,,,1.54393925068222E+018,157.609802246,129.719741821,95.1615600586,96.0244979858,-0.542496860027,1.5439381493801E+018,149.148376465,131.091552734,124.728340149,127.770736694,-0.493457615376,1.54393851097015E+018,178.114807129,75.4834213257,124.571655273,132.026596069,-2.98351311684,1.54402788795725E+018,267.15612793,163.04524231,78.0134124756,84.1262817383,-5.36507987976,1.54402865673094E+018,166.299545288,89.2431716919,120.745933533,116.758987427,5.19212007523
,,,,,,1.54393925083752E+018,155.694869995,132.107116699,95.3356781006,99.9292526245,-0.715073108673,1.54393814950537E+018,146.733215332,127.643463135,124.672393799,125.196342468,-3.50598835945,1.54393851097108E+018,179.162246704,76.1888275146,124.807991028,131.952713013,-6.58573818207,1.54402789021834E+018,274.848602295,167.767074585,78.0192642212,83.0296325684,-6.27203941345,1.54402865683741E+018,164.86378479,90.6549377441,133.130615234,136.826644897,2.8406291008
,,,,,,1.54393925104307E+018,155.42527771,134.842651367,95.8287200928,101.160072327,-0.597279131413,1.5439381495063E+018,144.39453125,128.479537964,127.251403809,130.387634277,-3.17251014709,1.54393851111277E+018,183.13848877,74.1144180298,125.199752808,129.612472534,-6.61117219925,1.54402789053009E+018,278.160705566,170.794555664,77.6180419922,82.7689666748,-6.47813892365,1.54402865692483E+018,169.45703125,87.9540710449,130.199874878,134.721481323,2.89221382141
,,,,,,1.54393925114304E+018,162.57472229,131.294204712,96.3396453857,97.7308273315,-1.61520695686,1.54393814965027E+018,142.368270874,127.841766357,128.011566162,131.468109131,-3.81176447868,1.54393851122895E+018,181.099456787,76.3499221802,122.925285339,132.131469727,-7.39693689346,1.54402789081206E+018,281.472808838,173.822052002,77.2168121338,82.5082931519,-6.68423843384,1.54402865692565E+018,172.771438599,87.1641921997,154.034744263,150.740097046,-6.57681274414
,,,,,,1.54393925114479E+018,163.20526123,131.678100586,96.5365066528,97.8235702515,-1.11072075367,1.5439381497586E+018,130.594680786,128.927032471,129.072860718,131.961578369,-1.97376990318,1.54393851133383E+018,179.219009399,72.9949035645,126.280982971,127.987503052,-7.52966403961,1.54402789124933E+018,284.784912109,176.849533081,76.8155899048,82.2476272583,-6.89033794403,1.54402865692627E+018,173.835235596,88.9571075439,147.226364136,138.520263672,-7.11633062363
,,,,,,1.54393925114491E+018,164.351531982,131.783279419,98.2736816406,95.1965484619,-2.34581446648,1.54393814987685E+018,127.734954834,126.525444031,130.659133911,135.993667603,-0.314979255199,1.54393851147384E+018,179.292236328,74.0947570801,127.420654297,125.609199524,-6.02190065384,1.54402789150358E+018,288.097015381,179.877029419,76.4143676758,81.9869613647,-7.09643697739,1.54402865700541E+018,170.210281372,86.5016937256,141.328277588,133.568191528,-3.00217199326
,,,,,,1.54393925128157E+018,167.482971191,130.179275513,99.7962188721,97.5115737915,-3.69475054741,1.54393815000198E+018,132.256195068,120.878990173,132.188735962,132.530426025,-1.36961042881,1.54393851147501E+018,178.769989014,75.8715744019,129.543548584,127.698478699,-4.77496051788,1.54402789179493E+018,291.40914917,182.904510498,76.0131378174,81.7262954712,-7.30253648758,1.54402865701143E+018,169.342315674,85.0005645752,138.17175293,131.70954895,-0.444221198559
